GroupCode,MachCode,status,duration
C1                            ,19,True,0 days 10:58:28.000000000
C1                            ,20,False,0 days 00:18:06.000000000
C1                            ,20,True,0 days 11:06:05.000000000
C1                            ,21,False,0 days 00:31:26.000000000
C1                            ,21,True,0 days 12:50:13.000000000
C1                            ,22,False,0 days 01:32:35.000000000
C1                            ,22,True,0 days 10:39:10.000000000
C1                            ,23,False,0 days 02:32:30.000000000
C1                            ,23,True,0 days 09:48:49.000000000
C1                            ,24,False,0 days 00:55:08.000000000
C1                            ,24,True,0 days 10:40:17.000000000
C1                            ,25,False,0 days 01:58:09.000000000
C1                            ,25,True,0 days 09:26:33.000000000
C1                            ,26,False,0 days 00:12:03.000000000
C1                            ,26,True,0 days 12:13:46.000000000
C1                            ,27,False,0 days 02:28:33.000000000
C1                            ,27,True,0 days 09:25:34.000000000
C1                            ,29,False,0 days 08:38:00.000000000
C1                            ,29,True,0 days 02:03:19.000000000
C1                            ,30,False,0 days 03:31:06.000000000
C1                            ,30,True,0 days 07:22:45.000000000
C1                            ,31,False,0 days 01:30:00.000000000
C1                            ,31,True,0 days 11:09:01.000000000
C2                            ,33,False,0 days 04:23:42.000000000
C2                            ,33,True,0 days 08:25:06.000000000
C2                            ,34,False,0 days 00:54:19.000000000
C2                            ,34,True,0 days 12:03:04.000000000
C2                            ,35,False,0 days 02:31:34.000000000
C2                            ,35,True,0 days 11:11:44.000000000
C2                            ,36,False,0 days 04:53:21.000000000
C2                            ,36,True,0 days 07:43:16.000000000
C2                            ,37,False,0 days 03:13:46.000000000
C2                            ,37,True,0 days 10:20:41.000000000
C2                            ,38,False,0 days 01:58:34.000000000
C2                            ,38,True,0 days 10:32:57.000000000
C2                            ,39,False,0 days 02:12:21.000000000
C2                            ,39,True,0 days 09:29:47.000000000
C2                            ,40,False,0 days 02:09:27.000000000
C2                            ,40,True,0 days 09:36:38.000000000
C2                            ,41,False,0 days 01:22:44.000000000
C2                            ,41,True,0 days 01:40:50.000000000
C2                            ,42,False,0 days 07:32:14.000000000
C2                            ,42,True,0 days 05:26:32.000000000
C2                            ,43,False,0 days 07:27:29.000000000
C2                            ,43,True,0 days 03:50:52.000000000
C2                            ,44,False,0 days 09:28:43.000000000
C2                            ,44,True,0 days 03:19:14.000000000
C2                            ,45,False,0 days 08:55:16.000000000
C2                            ,45,True,0 days 03:47:21.000000000
C2                            ,46,False,0 days 05:33:17.000000000
C2                            ,46,True,0 days 06:03:50.000000000
C2                            ,47,False,0 days 06:08:32.000000000
C2                            ,47,True,0 days 05:07:50.000000000
C2                            ,48,False,0 days 02:13:00.000000000
C2                            ,48,True,0 days 10:48:37.000000000
C2                            ,49,False,0 days 02:33:31.000000000
C2                            ,49,True,0 days 08:58:55.000000000
C2                            ,50,False,0 days 00:15:05.000000000
C2                            ,50,True,0 days 11:39:47.000000000
C2                            ,51,False,0 days 02:39:45.000000000
C2                            ,51,True,0 days 09:20:09.000000000
C2                            ,52,False,0 days 01:14:06.000000000
C2                            ,52,True,0 days 10:44:33.000000000
C2                            ,53,False,0 days 00:44:12.000000000
C2                            ,53,True,0 days 12:54:08.000000000
C2                            ,54,False,0 days 01:58:55.000000000
C2                            ,54,True,0 days 10:13:11.000000000
C2                            ,55,False,0 days 00:22:12.000000000
C2                            ,55,True,0 days 13:12:18.000000000
C2                            ,56,False,0 days 02:21:06.000000000
C2                            ,56,True,0 days 09:49:03.000000000
C2                            ,57,False,0 days 01:13:56.000000000
C2                            ,57,True,0 days 10:59:05.000000000
C2                            ,58,False,0 days 02:59:28.000000000
C2                            ,58,True,0 days 10:54:18.000000000
C2                            ,59,False,0 days 00:56:51.000000000
C2                            ,59,True,0 days 11:10:08.000000000
C2                            ,60,False,0 days 00:34:55.000000000
C2                            ,60,True,0 days 12:16:38.000000000
C2                            ,61,False,0 days 00:37:58.000000000
C2                            ,61,True,0 days 11:52:34.000000000
C2                            ,62,False,0 days 01:58:20.000000000
C2                            ,62,True,0 days 11:31:13.000000000
C2                            ,63,False,0 days 05:28:02.000000000
C2                            ,63,True,0 days 06:10:31.000000000
C2                            ,64,False,0 days 04:14:40.000000000
C2                            ,64,True,0 days 08:44:04.000000000
D1                            ,1,False,0 days 00:57:50.000000000
D1                            ,1,True,0 days 09:31:41.000000000
D1                            ,2,False,0 days 01:03:33.000000000
D1                            ,2,True,0 days 12:06:41.000000000
D1                            ,3,False,0 days 02:11:26.000000000
D1                            ,3,True,0 days 09:57:29.000000000
D1                            ,4,False,0 days 01:05:17.000000000
D1                            ,4,True,0 days 12:02:11.000000000
D1                            ,5,False,0 days 01:48:45.000000000
D1                            ,5,True,0 days 11:24:18.000000000
D1                            ,6,False,0 days 04:10:52.000000000
D1                            ,6,True,0 days 09:39:58.000000000
D1                            ,7,False,0 days 01:59:40.000000000
D1                            ,7,True,0 days 10:50:10.000000000
D1                            ,8,False,0 days 01:21:42.000000000
D1                            ,8,True,0 days 11:08:52.000000000
D1                            ,9,False,0 days 01:21:09.000000000
D1                            ,9,True,0 days 11:10:46.000000000
D1                            ,10,False,0 days 03:03:02.000000000
D1                            ,10,True,0 days 10:51:28.000000000
D1                            ,11,False,0 days 01:42:25.000000000
D1                            ,11,True,0 days 11:49:06.000000000
D1                            ,12,False,0 days 00:52:36.000000000
D1                            ,12,True,0 days 12:08:06.000000000
D1                            ,13,False,0 days 02:07:21.000000000
D1                            ,13,True,0 days 11:21:52.000000000
D1                            ,14,False,0 days 04:53:38.000000000
D1                            ,14,True,0 days 06:17:54.000000000
D1                            ,15,False,0 days 00:20:59.000000000
D1                            ,15,True,0 days 12:52:15.000000000
D1                            ,16,False,0 days 00:36:56.000000000
D1                            ,16,True,0 days 10:13:29.000000000
D1                            ,17,False,0 days 01:11:15.000000000
D1                            ,17,True,0 days 11:03:47.000000000
D1                            ,18,False,0 days 01:45:10.000000000
D1                            ,18,True,0 days 11:05:22.000000000
D1                            ,19,False,0 days 08:39:50.000000000
D1                            ,19,True,0 days 04:53:56.000000000
D1                            ,20,False,0 days 01:44:08.000000000
D1                            ,20,True,0 days 11:24:37.000000000
D1                            ,21,False,0 days 01:41:32.000000000
D1                            ,21,True,0 days 11:03:56.000000000
D1                            ,22,False,0 days 06:47:27.000000000
D1                            ,22,True,0 days 05:03:58.000000000
D1                            ,23,False,0 days 04:32:59.000000000
D1                            ,23,True,0 days 07:14:41.000000000
D1                            ,24,False,0 days 03:25:25.000000000
D1                            ,24,True,0 days 07:23:31.000000000
D1                            ,25,False,0 days 04:39:07.000000000
D1                            ,25,True,0 days 07:12:55.000000000
D1                            ,26,False,0 days 03:38:59.000000000
D1                            ,26,True,0 days 08:14:56.000000000
D1                            ,27,False,0 days 03:37:04.000000000
D1                            ,27,True,0 days 08:04:14.000000000
D1                            ,28,False,0 days 04:14:27.000000000
D1                            ,28,True,0 days 07:29:57.000000000
D1                            ,29,False,0 days 04:01:48.000000000
D1                            ,29,True,0 days 07:42:17.000000000
D1                            ,30,False,0 days 03:20:30.000000000
D1                            ,30,True,0 days 07:49:44.000000000
D1                            ,31,False,0 days 03:52:41.000000000
D1                            ,31,True,0 days 07:48:48.000000000
D1                            ,32,False,0 days 05:13:46.000000000
D1                            ,32,True,0 days 06:29:21.000000000
D2                            ,33,False,0 days 00:29:39.000000000
D2                            ,33,True,0 days 11:16:32.000000000
D2                            ,34,False,0 days 01:10:16.000000000
D2                            ,34,True,0 days 11:05:30.000000000
D2                            ,35,False,0 days 03:01:00.000000000
D2                            ,35,True,0 days 10:40:24.000000000
D2                            ,36,False,0 days 01:22:41.000000000
D2                            ,36,True,0 days 11:30:48.000000000
D2                            ,37,False,0 days 02:18:54.000000000
